Area;Year;sup;Yield;Production
Argentina;1961;      980; 9765;      957
Argentina;1962;     9649;11628;    11220
Argentina;1963;    19302; 9802;    18920
Argentina;1964;    12220;11457;    14000
Argentina;1965;    16422;10352;    17000
Argentina;1966;    15689;11600;    18200
Argentina;1967;    17290;11857;    20500
Argentina;1968;    20200;10891;    22000
Argentina;1969;    28200;11277;    31800
Argentina;1970;    25970;10320;    26800
Argentina;1971;    36330;16240;    59000
Argentina;1972;    68000;11471;    78000
Argentina;1973;   157030;17322;   272000
Argentina;1974;   334440;14831;   496000
Argentina;1975;   355940;13626;   485000
Argentina;1976;   433500;16032;   695000
Argentina;1977;   660000;21212;  1400000
Argentina;1978;  1150000;21739;  2500000
Argentina;1979;  1600000;23125;  3700000
Argentina;1980;  2030000;17241;  3500000
Argentina;1981;  1880000;20053;  3770000
Argentina;1982;  1985600;20900;  4150000
Argentina;1983;  2280700;17538;  4000000
Argentina;1984;  2910000;24055;  7000000
Argentina;1985;  3269000;19884;  6500000
Argentina;1986;  3316000;21411;  7100000
Argentina;1987;  3532650;18966;  6700000
Argentina;1988;  4373200;22638;  9900000
Argentina;1989;  3931250;16534;  6500000
Argentina;1990;  4961600;21566; 10700000
Argentina;1991;  4774500;22750; 10862000
Argentina;1992;  4935710;22915; 11310000
Argentina;1993;  5116235;21589; 11045400
Argentina;1994;  5748910;20386; 11719900
Argentina;1995;  5934160;20446; 12133000
Argentina;1996;  5913415;21051; 12448200
Argentina;1997;  6393780;17212; 11004890
Argentina;1998;  6954120;26937; 18732172
Argentina;1999;  8180000;24450; 20000000
Argentina;2000;  8637503;23312; 20135800
Argentina;2001; 10400193;25846; 26880852
Argentina;2002; 11405247;26304; 30000000
Argentina;2003; 12419995;28034; 34818552
Argentina;2004; 14304539;22075; 31576752
Argentina;2005; 14032198;27287; 38289744
Argentina;2006; 15130038;26793; 40537364
Argentina;2007; 15981264;29712; 47482784
Argentina;2008; 16387438;28216; 46238088
Argentina;2009; 16771003;18480; 30993380
Argentina;2010; 18130800;29053; 52675464
Argentina;2011; 18764850;26053; 48888536
Argentina;2012; 17577320;22814; 40100196
Argentina;2013; 19418824;25391; 49306200
Argentina;2014; 19252552;27735; 53397715
Argentina;2015; 19334915;31755; 61398276
Argentina;2016; 19504648;30146; 58799258
World;1961; 23818820;11287; 26883158
World;1962; 23822275;11384; 27120148
World;1963; 24398949;11561; 28207071
World;1964; 25681026;11323; 29079547
World;1965; 25819966;12279; 31704923
World;1966; 26534256;13723; 36412918
World;1967; 28112290;13494; 37933319
World;1968; 28874372;14345; 41420481
World;1969; 28897038;14523; 41967347
World;1970; 29525510;14800; 43696887
World;1971; 30033769;15189; 45618769
World;1972; 31724286;14896; 47257207
World;1973; 37391240;15851; 59267889
World;1974; 37390118;14079; 52639832
World;1975; 38764952;16574; 64248541
World;1976; 37167564;15443; 57399226
World;1977; 42056753;17561; 73854802
World;1978; 46392180;16264; 75449966
World;1979; 50708188;17492; 88698341
World;1980; 50646946;16001; 81040368
World;1981; 50475793;17538; 88525040
World;1982; 52384044;17586; 92121684
World;1983; 49049878;16201; 79467061
World;1984; 52939196;17143; 90752915
World;1985; 53063617;19063;101156845
World;1986; 51896341;18199; 94446350
World;1987; 52541951;19052;100102463
World;1988; 54861083;17047; 93521958
World;1989; 58647478;18288;107254261
World;1990; 57209429;18958;108456443
World;1991; 54925075;18725;102849072
World;1992; 56124735;20310;113989333
World;1993; 59524819;19361;115245015
World;1994; 62476748;21825;136356715
World;1995; 62488224;20312;126923558
World;1996; 61078827;21316;130193213
World;1997; 66925183;21565;144326230
World;1998; 70972047;22562;160128838
World;1999; 72059360;21901;157815456
World;2000; 74307819;21708;161308456
World;2001; 76762943;23061;177020696
World;2002; 78930645;22925;180950793
World;2003; 83601139;22796;190573602
World;2004; 91629153;22433;205548177
World;2005; 92573361;23175;214542816
World;2006; 95334660;23240;221558978
World;2007; 90188462;24370;219793049
World;2008; 96379904;23983;231148449
World;2009; 99314280;22481;223267546
World;2010;102767841;25781;264942943
World;2011;103757324;25197;261436988
World;2012;105350564;22894;241185392
World;2013;111018715;24999;277537300
World;2014;117636467;26044;306373463
World;2015;120792189;26757;323204743
World;2016;121532432;27556;334894085
